acs_met2013,pre_covid_slr,hhinc,pov,college,employed,renter,age25_44,age45_64,commute,density,vacancy,valueh,rooms,bedrooms,valueh_pre,valueh_post,log_value_change,met2013,statefip
"trenton, nj",.97888738,634365.8772524638,345.77704,.31657198,.48528275,.32840422,.24599902,.29156566,13.707224,3879.237076829027,0,4099782.277037766,6.2255073,3.8300338,4126876.911698912,3886800.162965003,-.059934687,"Trenton, NJ",34
"tucson, az",.98801482,382570.5150273322,274.61618,.22694393,.42822233,.32685691,.23353481,.24869284,9.5325241,2466.227414720755,0,3900344.098438994,5.5501375,3.8097293,3876953.887962392,3583078.271403,-.078827478,"Tucson, AZ",4
"tuscaloosa, al",.98096496,673193.6593950414,274.21527,.20627564,.46185222,.28259578,.26180801,.24255842,10.183031,1018.800925375333,0,3936612.214001032,5.8289013,3.7995183,4083340.748597904,3910263.196302733,-.04331078,"Tuscaloosa, AL",1
"tyler, tx",.98024487,384832.931935864,282.12708,.17334877,.43858057,.27223614,.23877034,.2656399,8.9903584,875.2663383004893,0,3518886.508782222,5.7740088,3.8749011,3626396.563113626,3045325.965925056,-.17463152,"Tyler, TX",48
"utica-rome, ny",.97106409,598145.9759381365,288.3913,.19190803,.44055113,.25263613,.22096792,.28875387,8.1017904,1092.152821026224,0,3336219.953096052,6.3067665,3.826381,3316494.553564224,3412022.722812415,.028396921,"Utica-Rome, NY",36
"vallejo-fairfield, ca",.9987902,341402.6966432409,326.99005,.18461239,.46942726,.39874783,.26271001,.27727979,14.025427,2715.251842967828,0,4586509.146579416,5.7949591,3.9621494,4547109.810634498,4275023.476014724,-.061702229,"Vallejo-Fairfield, CA",6
"virginia beach-norfolk-newport news, va-nc",.9890449,525834.6301017165,315.68909,.22706732,.51345587,.3673991,.26638269,.26423261,11.323115,3182.841327122246,0,4406541.585014251,6.307694,3.95171,4390417.124722921,3921664.756709022,-.11290799,"Virginia Beach-Norfolk-Newport News, VA-NC",51
"visalia-porterville, ca",.99547565,203409.2826951901,231.77448,.081128217,.37193531,.42567334,.26203388,.21452513,7.58887,1373.839730435569,0,4762646.767815779,5.5107574,3.9062815,4791382.454943821,4532541.924795242,-.055536069,"Visalia-Porterville, CA",6
"waco, tx",.97890502,463208.0073016524,257.31445,.15071531,.46498764,.36029157,.24081644,.22470678,8.5934048,1458.119862168235,0,4289170.215610054,5.7071013,3.8752944,4292111.983484217,3926676.453208845,-.088985533,"Waco, TX",48
"washington-arlington-alexandria, dc-va-md-wv",.99912822,328642.3867478423,374.39694,.36946863,.54240364,.32933348,.29070058,.27001259,17.502262,5167.75739283175,0,3904000.702703843,6.9567161,4.1382766,3929948.84025485,3673314.647537714,-.067531981,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11
"wenatchee, wa",.9961403,227631.7586455804,293.80206,.16396838,.45208254,.25534108,.24059509,.28085834,7.7307096,280.3000000000004,0,3032787.244954206,6.4422674,4.1473756,3247464.852621731,3695377.039761175,.12920794,"Wenatchee, WA",53
"wichita, ks",.98709965,270899.441277841,302.87955,.21537212,.49186981,.31032431,.26428586,.25167611,9.428092,1450.858487001735,0,3535435.47811915,6.6439281,4.0595307,3564778.919513984,3289109.843428572,-.080485076,"Wichita, KS",20
"wilmington, nc",.97997189,363555.5814934809,289.60367,.27035224,.44706443,.33049768,.25242236,.27261975,9.0783195,1270.785586268776,0,3976425.912764528,6.0123172,3.9374781,3905041.858344181,3573736.189541982,-.088656902,"Wilmington, NC",37
"winston-salem, nc",.98345947,277159.7197809005,281.45633,.19316618,.45664471,.30071566,.23563626,.27736136,9.6398621,922.2651804636272,0,3529317.936867073,6.0659175,3.8744709,3481062.962301405,3159294.216507191,-.096989043,"Winston-Salem, NC",37
"worcester, ma-ct",.99306685,533835.5944075783,345.12875,.2610245,.51530802,.27063194,.23996618,.29861778,13.783071,1814.767241077232,0,3459715.923995149,6.1030426,3.8037159,3420097.117591721,3448141.515002635,.0081664473,"Worcester, MA-CT",9
"yakima, wa",.99768466,204377.7919377528,259.27408,.10245736,.42771673,.35288376,.23917267,.23955072,7.5113416,1519.12962765957,0,4009787.274129594,5.9497848,3.9102075,4013033.595354097,4040161.608091767,.0067372303,"Yakima, WA",53
"york-hanover, pa",.99812496,288564.4217080711,321.72598,.1754514,.49892753,.20888747,.23225294,.28973365,12.634145,1335.444744941823,0,2521499.818765549,6.8358541,4.1165962,2556331.498654733,2561883.2988554,.0021694293,"York-Hanover, PA",42
"youngstown-warren-boardman, oh-pa",.96334118,415221.1692143782,277.82986,.16952795,.42497697,.26013613,.22111361,.28390542,8.4260311,1103.575054554524,0,3258487.603070457,6.3662286,3.8714843,3233600.652770452,2951848.235950396,-.091164775,"Youngstown-Warren-Boardman, OH-PA",39
"yuba city, ca",.99839258,218737.9612762147,260.16629,.097988911,.40241286,.44741553,.26009274,.22974277,9.9874077,850.799999999999,0,4880291.380126726,5.7100968,3.989428,4889632.792605652,4253812.623349076,-.13930154,"Yuba City, CA",6
